age,potential,growth,hieght,weight,foot,pos1,base_potential,market_value_millions,wages_dollars,release_clause
22,82,7,175,70,Right,RB,75,11.0,31000.0,23.1
19,86,18,178,70,Left,CF,68,3.1,7000.0,7.5
25,87,3,182,74,Right,CM,84,55.5,145000.0,109.6
16,83,19,182,75,Right,CB,64,1.4,1000.0,3.7
21,84,7,189,74,Left,RM,77,21.5,65000.0,45.2
17,82,16,191,75,Right,CM,66,2.1,1000.0,5.3
21,84,9,188,86,Left,CB,75,12.0,19000.0,22.8
18,87,15,184,80,Right,CDM,72,5.0,16000.0,12.6
25,86,5,187,90,Right,ST,81,38.5,20000.0,79.9
20,92,4,186,75,Right,CAM,88,128.5,230000.0,273.1
24,87,5,193,82,Left,CAM,82,46.0,110000.0,88.6
25,80,5,185,64,Right,CDM,75,7.5,35000.0,14.8
22,86,8,193,89,Right,ST,78,32.0,34000.0,60.8
20,92,5,177,71,Right,CAM,87,118.5,77000.0,210.3
22,78,8,191,73,Right,ST,70,3.6,22000.0,7.6
17,90,11,178,68,Right,CM,79,36.0,10000.0,73.8
18,88,11,175,70,Left,CAM,77,22.0,41000.0,49.5
17,88,15,182,76,Left,CB,73,6.5,550.0,13.2
20,89,11,191,79,Left,ST,78,31.0,82000.0,65.1
18,88,13,183,77,Right,ST,75,13.0,20000.0,29.6
25,76,3,191,90,Right,ST,73,4.1,36000.0,8.1
21,86,10,182,77,Left,CAM,76,17.0,31000.0,35.7
22,88,7,173,64,Left,RW,81,52.5,40000.0,120.8
18,88,12,172,78,Right,ST,76,17.5,44000.0,39.4
20,90,7,182,68,Left,CM,83,71.5,135000.0,160.9
21,88,8,184,73,Left,RM,80,47.5,37000.0,99.8
17,86,14,187,70,Right,CM,72,5.5,4000.0,13.9
22,88,8,171,62,Right,CAM,80,47.5,11000.0,80.8
22,86,6,190,91,Right,ST,80,34.0,56000.0,64.6
23,84,5,172,63,Left,RW,79,26.5,105000.0,52.3
20,86,8,186,70,Right,LW,78,31.0,59000.0,63.6
17,86,10,190,75,Right,CB,76,14.5,1000.0,30.5
22,87,5,186,74,Right,CAM,82,47.0,110000.0,90.5
22,84,7,175,61,Right,LM,77,21.5,76000.0,45.2
22,92,6,183,70,Right,LW,86,109.0,95000.0,207.1
19,86,13,181,76,Right,CDM,73,7.0,32000.0,17.7
17,85,15,173,67,Left,RW,70,3.6,3000.0,6.9
19,87,11,180,72,Right,LW,76,16.0,57000.0,33.6
23,86,4,192,77,Right,ST,82,44.0,120000.0,86.9
18,86,11,169,70,Right,RB,75,11.5,23000.0,23.6
24,91,5,188,81,Right,LW,86,102.5,110000.0,181.9
17,87,22,185,77,Right,ST,65,2.3,2000.0,6.2
27,85,1,190,85,Right,CDM,84,43.0,110000.0,84.9
18,86,12,188,75,Right,ST,74,10.0,26000.0,21.0
20,86,6,182,72,Right,RB,80,30.5,22000.0,70.2
22,85,5,182,69,Left,ST,80,33.0,21000.0,48.7
18,87,10,179,72,Left,ST,77,22.5,18000.0,42.8
20,93,7,184,72,Right,CAM,86,134.5,79000.0,248.8
19,89,8,175,69,Left,LB,81,53.0,70000.0,119.3
18,85,13,183,74,Right,RWB,72,5.0,2000.0,13.1
23,87,4,170,71,Right,CF,83,52.5,150000.0,101.1
18,85,12,172,68,Left,LM,73,7.0,19000.0,14.7
38,86,0,187,85,Right,ST,86,23.0,66000.0,36.8
25,84,1,186,70,Right,LW,83,43.5,155000.0,85.9
22,94,5,176,73,Right,LW,89,158.5,310000.0,336.8
18,87,11,174,66,Right,CM,76,15.5,5000.0,34.1
24,87,4,187,81,Right,ST,83,52.5,130000.0,101.1
22,91,6,174,64,Right,RW,85,86.5,210000.0,194.6
21,89,11,184,71,Right,CM,78,31.5,28000.0,59.9
19,88,8,176,71,Left,LM,80,45.5,7000.0,0.0
26,90,3,181,74,Right,CM,87,103.5,240000.0,219.9
21,85,7,168,60,Right,RM,78,28.5,78000.0,0.0
18,87,12,188,82,Left,GK,75,11.5,2000.0,25.3
18,87,11,180,71,Right,CDM,76,15.0,12000.0,33.8
17,86,19,164,59,Left,CAM,67,2.5,750.0,0.0
26,86,2,190,86,Right,CB,84,46.0,82000.0,79.4
22,94,3,195,94,Left,ST,91,185.0,340000.0,356.1
22,86,7,173,66,Left,CAM,79,35.5,68000.0,72.8
23,88,4,190,75,Left,ST,84,61.0,140000.0,108.3
21,86,7,183,77,Left,CB,79,33.0,36000.0,62.7
19,88,13,180,72,Right,CM,75,13.5,42000.0,31.4
20,81,11,174,64,Right,CM,70,3.5,41000.0,7.9
20,86,9,195,85,Right,ST,77,23.5,39000.0,44.7
36,90,0,169,67,Left,CF,90,41.0,23000.0,61.5
30,77,0,197,84,Right,ST,77,10.5,51000.0,0.0
23,86,3,177,75,Right,ST,83,50.0,71000.0,88.8
22,88,6,178,78,Right,CM,82,48.5,110000.0,101.9
21,83,6,192,76,Right,CDM,77,15.5,26000.0,32.6
20,86,5,186,73,Left,LB,81,35.5,62000.0,70.1
19,85,10,176,71,Left,LB,75,11.5,20000.0,24.2
17,87,21,170,67,Right,LM,66,2.7,1000.0,7.3
26,87,1,172,68,Right,CM,86,79.5,135000.0,141.1
20,89,7,179,61,Right,CAM,82,60.5,71000.0,0.0
18,86,14,180,72,Right,LM,72,5.5,6000.0,11.7
20,87,9,179,70,Left,RW,78,31.0,17000.0,49.6
20,87,10,170,63,Left,CAM,77,23.0,41000.0,43.7
32,81,0,173,70,Right,RB,81,18.0,140000.0,36.9
24,94,3,182,75,Right,ST,91,181.5,230000.0,349.4
22,88,4,171,64,Right,RWB,84,57.0,63000.0,101.2
24,91,5,188,79,Right,CB,86,93.0,175000.0,197.6
18,84,19,187,75,Right,CDM,65,1.7,3000.0,4.0
24,90,3,178,68,Left,CAM,87,109.0,170000.0,209.8
22,84,5,185,73,Right,RB,79,25.0,17000.0,36.9
23,88,5,184,77,Right,LW,83,55.0,165000.0,116.9
23,87,6,181,70,Right,CF,81,41.0,60000.0,0.0
24,84,6,191,83,Right,GK,78,18.0,76000.0,40.5
19,85,11,166,71,Right,LM,74,9.0,21000.0,18.9
20,86,9,179,67,Right,RB,77,22.0,57000.0,46.2
20,86,12,173,63,Right,CAM,74,10.0,67000.0,0.0
19,88,9,187,82,Right,CB,79,35.5,8000.0,78.1
23,89,6,192,84,Right,GK,83,46.5,14000.0,102.3
21,87,8,173,77,Right,RW,79,39.5,95000.0,81.0
21,84,8,168,57,Left,LB,76,16.0,53000.0,0.0
19,87,10,172,67,Right,LM,77,23.0,12000.0,52.9
19,87,10,194,75,Right,CB,77,21.0,22000.0,39.9
23,83,7,189,75,Left,CB,76,14.0,64000.0,28.7
18,85,13,185,77,Right,CDM,72,5.0,15000.0,12.4
17,85,15,189,68,Right,CM,70,3.6,6000.0,9.1
28,87,0,177,75,Right,CDM,87,70.0,110000.0,115.5
24,88,2,180,72,Right,RB,86,81.0,140000.0,155.9
23,87,5,188,77,Right,CAM,82,46.0,34000.0,100.1
21,86,9,195,74,Left,CB,77,22.0,26000.0,46.2
21,87,7,180,77,Left,LM,80,43.0,38000.0,81.7
21,83,7,182,75,Left,RM,76,15.0,60000.0,31.5
22,86,7,185,82,Right,ST,79,36.0,75000.0,73.8
24,86,5,181,74,Right,CDM,81,35.5,33000.0,77.2
21,88,6,185,80,Left,CB,82,44.5,95000.0,91.2
21,86,7,178,73,Right,CDM,79,33.5,67000.0,70.4
21,85,10,188,81,Right,CDM,75,12.0,17000.0,24.0
19,82,13,188,77,Right,CAM,69,3.3,22000.0,8.3
25,83,3,195,86,Right,ST,80,28.5,72000.0,50.6
