age,potential,growth,hieght,weight,foot,pos1,base_potential,market_value_millions,wages_dollars,release_clause
20,62,9,186,80,Right,CB,53,0.19,500.0,0.333
16,83,24,183,75,Right,ST,59,0.7,2000.0,2.0
20,74,13,183,75,Right,CM,61,0.775,2000.0,1.7
17,71,17,181,70,Right,CB,54,0.25,500.0,0.581
24,74,3,167,58,Right,LM,71,2.6,3000.0,3.8
23,69,9,184,84,Right,CB,60,0.5,650.0,0.725
21,76,11,191,84,Right,GK,65,1.4,4000.0,2.9
34,74,0,172,74,Right,CM,74,1.9,10000.0,3.0
22,58,7,185,80,Right,CDM,51,0.11,750.0,0.16
27,71,0,187,84,Right,CB,71,1.7,500.0,3.7
27,64,0,182,70,Right,LM,64,0.625,2000.0,1.1
22,79,4,175,67,Right,CAM,75,8.0,950.0,18.2
26,73,4,184,69,Right,GK,69,1.5,15000.0,3.0
24,76,3,178,72,Left,LM,73,4.2,20000.0,8.3
22,76,9,183,73,Right,RW,67,2.3,3000.0,4.5
22,84,9,175,71,Left,CM,75,12.5,17000.0,28.8
23,74,5,179,72,Right,LM,69,2.1,6000.0,4.4
21,71,10,186,75,Left,LB,61,0.7,500.0,1.2
21,80,7,172,63,Right,CAM,73,6.0,15000.0,10.2
21,71,10,184,81,Right,ST,61,0.75,2000.0,1.4
29,74,0,175,68,Left,CAM,74,4.1,52000.0,7.8
21,76,11,183,77,Right,ST,65,1.6,2000.0,2.5
20,69,8,175,70,Right,ST,61,0.725,2000.0,1.3
26,68,0,175,70,Left,LB,68,1.2,6000.0,2.3
25,81,3,178,76,Left,CM,78,18.5,44000.0,32.8
22,76,10,189,83,Left,RW,66,1.9,5000.0,2.9
20,69,6,190,79,Right,CDM,63,0.675,1000.0,0.0
21,59,7,172,64,Left,LB,52,0.15,800.0,0.218
26,68,1,171,74,Right,ST,67,1.2,500.0,2.7
19,65,12,177,70,Left,LB,53,0.21,500.0,0.494
25,76,1,187,80,Right,LM,75,6.5,14000.0,10.9
22,81,9,189,83,Right,GK,72,4.6,11000.0,0.0
23,66,6,196,90,Right,CB,60,0.35,2000.0,0.683
24,71,5,177,77,Right,RB,66,1.2,2000.0,2.6
22,61,8,185,79,Right,CB,53,0.2,1000.0,0.33
26,67,1,170,60,Right,CM,66,1.0,2000.0,1.3
32,74,0,181,78,Right,LM,74,3.3,12000.0,4.1
24,60,4,176,75,Right,ST,56,0.21,2000.0,0.32
18,61,9,174,68,Right,RWB,52,0.16,500.0,0.312
29,75,0,196,98,Right,ST,75,5.5,35000.0,0.0
19,70,10,175,66,Left,ST,60,0.525,500.0,1.2
29,71,1,186,80,Right,CB,70,1.5,3000.0,2.5
29,77,0,185,77,Right,LW,77,10.5,75000.0,19.4
19,67,15,188,75,Right,CB,52,0.18,500.0,0.338
20,84,9,167,63,Right,LM,75,12.5,7000.0,20.6
19,67,10,188,80,Right,CB,57,0.325,1000.0,0.536
20,68,10,180,75,Right,ST,58,0.45,700.0,0.653
24,60,3,185,70,Right,RM,57,0.22,500.0,0.358
21,79,6,191,92,Right,CB,73,4.4,22000.0,9.2
19,85,12,182,70,Left,CDM,73,7.0,15000.0,14.7
22,84,9,178,74,Right,CM,75,12.5,40000.0,25.0
18,75,12,178,68,Right,LM,63,1.1,550.0,1.8
33,64,0,186,93,Right,CB,64,0.23,3000.0,0.0
26,69,1,180,70,Right,CB,68,1.2,5000.0,2.2
23,78,7,173,67,Right,RM,71,3.8,5000.0,6.5
21,72,11,175,61,Right,LM,61,0.725,1000.0,1.2
21,66,10,193,83,Right,CB,56,0.3,2000.0,0.66
21,70,8,180,75,Right,ST,62,0.9,2000.0,1.5
21,69,10,186,77,Right,CB,59,0.475,7000.0,0.998
27,71,0,179,68,Right,RM,71,2.0,1000.0,2.8
21,68,11,173,70,Right,CM,57,0.375,1000.0,0.619
18,76,13,188,74,Right,CM,63,1.1,500.0,2.3
18,74,10,174,70,Left,LB,64,1.2,500.0,2.8
20,65,9,190,78,Right,CB,56,0.3,500.0,0.435
27,66,2,190,81,Left,CB,64,0.625,1000.0,1.0
22,74,8,189,73,Right,CB,66,1.8,1000.0,2.9
27,73,1,175,62,Right,ST,72,2.7,8000.0,5.9
23,78,5,171,69,Right,RB,73,4.3,28000.0,8.5
19,83,9,188,79,Right,CB,74,8.5,13000.0,19.6
40,71,0,193,90,Left,GK,71,0.21,6000.0,0.368
21,60,9,185,75,Right,CB,51,0.12,700.0,0.198
24,70,7,197,80,Right,CB,63,0.9,1000.0,1.8
23,62,5,184,80,Left,ST,57,0.25,500.0,0.381
34,68,0,166,64,Right,LM,68,0.425,6000.0,0.0
18,66,16,177,68,Right,CM,50,0.12,500.0,0.285
20,80,10,185,80,Right,CB,70,3.3,9000.0,0.0
25,76,3,177,63,Right,CM,73,4.0,18000.0,8.7
22,71,9,179,65,Right,CAM,62,0.9,1000.0,1.5
26,69,4,187,77,Right,GK,65,0.775,2000.0,1.2
20,79,17,190,81,Right,GK,62,0.925,950.0,2.5
23,69,7,184,73,Right,ST,62,0.8,500.0,1.9
18,74,13,177,75,Right,CDM,61,0.725,650.0,1.5
33,79,0,180,75,Right,CAM,79,11.0,58000.0,18.7
19,69,10,186,82,Right,ST,59,0.5,1000.0,1.1
18,77,15,189,75,Left,CDM,62,0.875,1000.0,2.4
23,75,7,172,63,Left,LB,68,2.3,4000.0,4.1
27,70,0,178,72,Left,LB,70,1.5,550.0,3.2
30,74,7,185,78,Left,CAM,67,0.0,0.0,0.0
17,82,21,187,75,Right,CB,61,0.975,500.0,2.6
33,74,0,187,78,Right,CAM,74,2.6,18000.0,5.7
21,71,12,170,63,Right,LM,59,0.55,1000.0,0.963
22,74,6,172,71,Right,RM,68,1.9,3000.0,4.4
23,71,6,168,68,Right,LM,65,1.1,500.0,2.6
19,58,8,180,75,Left,LB,50,0.1,750.0,0.15
19,79,10,180,68,Right,RB,69,2.9,500.0,7.0
20,73,14,188,67,Right,ST,59,0.55,5000.0,0.0
29,74,0,185,77,Right,RM,74,4.1,31000.0,7.8
20,79,12,178,74,Left,RM,67,2.5,2000.0,4.0
26,68,2,165,60,Right,CDM,66,0.95,2000.0,1.5
18,71,15,176,65,Right,RB,56,0.325,500.0,0.902
24,74,5,186,82,Right,CDM,69,1.9,4000.0,3.2
26,78,0,180,70,Right,RM,78,15.5,31000.0,26.4
22,77,9,182,72,Right,RM,68,2.7,5000.0,4.6
20,70,9,178,67,Right,RB,61,0.675,1000.0,1.1
22,66,9,170,68,Right,RB,57,0.35,500.0,0.823
23,75,5,190,78,Left,CM,70,2.4,27000.0,0.0
24,54,6,179,74,Right,CDM,48,0.07,1000.0,0.123
21,78,9,179,67,Left,RM,69,3.1,5000.0,6.0
25,74,3,185,71,Left,LB,71,2.3,19000.0,4.5
24,73,6,188,80,Right,ST,67,1.6,2000.0,2.9
29,74,0,185,74,Right,CM,74,0.0,0.0,0.0
23,75,6,190,72,Right,ST,69,2.2,8000.0,3.7
17,85,21,176,64,Right,RW,64,1.8,4000.0,5.1
28,76,0,172,75,Right,LM,76,7.5,23000.0,12.4
26,63,0,175,67,Right,LW,63,0.525,2000.0,0.656
29,73,0,182,80,Right,CM,73,3.0,21000.0,5.7
19,74,16,176,70,Right,CM,58,0.525,600.0,1.2
36,67,0,193,82,Right,ST,67,0.35,2000.0,0.613
33,65,0,180,78,Right,ST,65,0.45,650.0,0.608
22,71,8,179,71,Right,CAM,63,1.1,850.0,1.8
25,87,4,179,72,Right,CAM,83,50.5,71000.0,89.6
29,76,0,173,69,Right,RM,76,7.5,46000.0,15.0
27,73,0,173,65,Right,CAM,73,3.2,15000.0,4.8
23,80,7,186,72,Right,RM,73,6.0,26000.0,12.6
21,67,9,190,75,Right,CB,58,0.425,2000.0,0.723
26,74,1,180,78,Right,CM,73,3.6,15000.0,7.1
33,72,0,181,75,Right,ST,72,1.5,5000.0,1.9
19,66,13,193,88,Right,GK,53,0.19,500.0,0.356
22,91,5,161,58,Left,LB,86,97.5,1000.0,207.2
19,74,11,190,78,Left,CB,63,0.975,2000.0,1.5
24,78,5,195,77,Right,CB,73,4.2,16000.0,7.9
22,79,11,186,81,Right,CDM,68,2.6,24000.0,0.0
20,78,13,180,70,Right,ST,65,1.7,5000.0,0.0
28,64,0,183,75,Right,CF,64,0.6,2000.0,0.81
18,72,17,175,70,Right,CM,55,0.325,500.0,0.609
27,80,1,181,73,Right,RWB,79,18.5,43000.0,36.5
17,90,11,178,68,Right,CM,79,36.0,10000.0,73.8
29,59,0,171,70,Right,LM,59,0.22,1000.0,0.297
22,72,6,183,75,Right,CB,66,1.2,2000.0,2.8
22,74,7,176,69,Left,LB,67,2.0,7000.0,4.4
35,70,0,190,81,Right,GK,70,0.18,9000.0,0.342
31,74,0,169,72,Left,CAM,74,3.5,8000.0,5.1
30,74,0,191,84,Left,CB,74,3.5,750.0,7.7
26,65,0,188,90,Right,GK,65,0.375,2000.0,0.0
26,67,3,187,77,Right,CB,64,0.675,2000.0,0.962
19,71,11,184,80,Right,CDM,60,0.5,1000.0,1.0
26,78,1,187,71,Right,ST,77,12.5,44000.0,24.7
26,79,1,177,78,Right,CF,78,0.0,0.0,0.0
19,82,14,185,70,Right,CB,68,2.7,4000.0,5.7
26,73,0,177,68,Left,CM,73,3.3,23000.0,6.9
26,77,3,178,70,Left,LWB,74,5.0,20000.0,9.4
24,74,6,180,72,Right,CB,68,1.7,5000.0,4.0
27,71,1,178,80,Right,CDM,70,1.6,12000.0,3.3
31,79,0,185,78,Right,RB,79,12.5,59000.0,21.3
21,67,8,190,78,Right,CM,59,0.5,1000.0,0.85
26,73,0,174,72,Left,LB,73,3.0,20000.0,5.4
24,82,7,165,57,Left,LB,75,10.5,650.0,24.2
25,70,1,172,75,Right,LM,69,1.7,4000.0,2.8
21,68,11,184,76,Right,CM,57,0.375,3000.0,0.863
25,85,5,178,67,Right,CAM,80,31.0,48000.0,61.2
18,60,13,171,60,Right,CM,47,0.11,700.0,0.239
20,78,13,191,78,Right,CB,65,1.6,6000.0,0.0
20,83,11,180,73,Right,LM,72,5.0,16000.0,10.5
30,73,0,178,73,Right,CM,73,2.9,28000.0,5.8
25,70,1,167,69,Right,RM,69,1.7,500.0,3.8
26,79,3,168,63,Right,CB,76,8.5,800.0,19.3
33,77,0,188,77,Right,CB,77,5.0,55000.0,9.5
26,79,3,183,75,Left,CM,76,9.5,46000.0,16.9
20,76,8,174,72,Right,CAM,68,2.6,500.0,6.2
18,68,14,190,80,Right,GK,54,0.22,500.0,0.457
20,69,9,188,75,Right,CB,60,0.5,2000.0,0.825
21,81,9,187,70,Right,CB,72,4.9,21000.0,10.8
21,67,10,194,85,Right,ST,57,0.375,3000.0,0.675
24,79,5,174,80,Left,CAM,74,6.5,16000.0,0.0
22,62,6,171,69,Right,RWB,56,0.21,1000.0,0.305
21,84,12,191,80,Right,CB,72,5.5,31000.0,11.6
24,83,5,188,84,Right,RB,78,20.0,73000.0,38.5
27,79,0,175,74,Right,CDM,79,16.5,30000.0,34.7
19,77,16,172,71,Right,CDM,61,0.8,4000.0,0.0
28,70,0,169,62,Right,CF,70,1.6,700.0,0.0
23,72,7,175,68,Right,CM,65,1.4,2000.0,3.2
21,81,5,180,73,Right,RM,76,11.5,25000.0,20.4
36,65,0,175,82,Left,CAM,65,0.23,500.0,0.495
25,67,4,194,92,Left,GK,63,0.525,600.0,0.853
20,70,12,185,83,Left,CB,58,0.45,7000.0,0.945
21,72,10,182,75,Right,GK,62,0.775,750.0,1.4
32,71,0,192,94,Right,ST,71,1.5,10000.0,0.0
29,66,0,182,74,Left,CB,66,0.725,4000.0,1.1
30,70,0,192,84,Left,CB,70,1.3,8000.0,1.6
28,74,0,188,86,Right,ST,74,4.3,9000.0,6.5
19,71,12,189,80,Right,CB,59,0.5,1000.0,0.975
30,83,0,176,72,Right,CAM,83,35.0,74000.0,59.5
19,71,15,176,65,Right,LM,56,0.35,750.0,0.726
22,68,6,183,75,Right,ST,62,0.65,2000.0,1.1
20,69,12,181,77,Right,CB,57,0.375,500.0,0.881
20,68,12,177,70,Left,CM,56,0.35,2000.0,0.735
21,80,10,184,73,Left,LB,70,3.4,2000.0,6.1
19,88,13,180,72,Right,CM,75,13.5,42000.0,31.4
20,72,9,183,84,Left,LB,63,1.0,2000.0,1.8
20,70,8,184,78,Left,CF,62,0.0,0.0,0.0
22,54,6,182,73,Right,ST,48,0.08,1000.0,0.14
16,71,18,189,84,Right,GK,53,0.21,500.0,0.415
20,73,8,188,80,Right,RW,65,1.6,3000.0,2.3
39,63,0,183,86,Left,CB,63,0.09,3000.0,0.158
25,78,3,173,71,Right,CM,75,7.5,16000.0,13.3
19,67,9,179,63,Left,CM,58,0.45,7000.0,0.945
19,74,11,178,72,Left,CB,63,0.975,500.0,2.3
20,71,12,186,70,Right,GK,59,0.475,950.0,0.808
26,80,3,191,84,Right,CB,77,12.0,25000.0,26.1
29,80,0,177,70,Left,RW,80,20.5,38000.0,43.1
25,60,1,185,68,Right,RM,59,0.275,1000.0,0.502
29,63,0,170,65,Left,CM,63,0.475,2000.0,0.689
26,68,2,185,73,Right,CDM,66,0.95,6000.0,1.8
20,77,13,173,70,Left,LB,64,1.3,3000.0,0.0
22,73,7,188,80,Right,CDM,66,1.6,3000.0,3.7
21,71,7,187,77,Left,CB,64,1.1,2000.0,2.1
21,61,9,187,80,Left,CB,52,0.17,500.0,0.247
20,66,10,184,70,Right,CDM,56,0.3,2000.0,0.525
19,68,13,174,68,Left,CAM,55,0.3,1000.0,0.788
19,78,17,186,73,Right,GK,61,0.75,600.0,1.5
30,71,0,183,75,Right,CDM,71,1.6,5000.0,2.4
21,73,11,182,78,Right,CM,62,0.9,650.0,1.5
23,78,7,170,63,Right,RB,71,3.6,500.0,8.3
19,78,10,183,73,Left,RM,68,2.6,7000.0,5.5
32,88,0,176,73,Left,ST,88,74.0,135000.0,151.7
32,74,0,179,70,Right,LM,74,3.3,35000.0,5.9
19,70,9,187,74,Right,CB,61,0.65,2000.0,1.5
17,78,20,178,73,Right,CAM,58,0.55,600.0,1.4
19,60,10,188,80,Right,CB,50,0.09,550.0,0.131
27,73,0,177,68,Right,ST,73,3.3,750.0,6.9
27,60,1,183,77,Right,ST,59,0.275,800.0,0.447
20,77,14,179,74,Left,CAM,63,1.2,2000.0,0.0
20,73,12,190,76,Right,CM,61,0.775,2000.0,1.7
35,68,0,177,73,Right,ST,68,0.525,500.0,1.2
23,79,9,180,87,Right,CDM,70,3.3,2000.0,5.3
19,76,15,193,78,Right,GK,61,0.675,850.0,1.4
33,84,0,194,81,Right,CB,84,20.0,88000.0,34.0
18,67,17,173,64,Right,CM,50,0.12,700.0,0.297
32,61,0,183,75,Right,GK,61,0.16,1000.0,0.2
18,74,15,180,75,Left,LM,59,0.525,600.0,1.1
